"state_id","county_full","lng","lat","population","SVI"
"GA","Wayne County",-81.9168,31.5515,30277,0.7278
"LA","Iberville Parish",-91.3495,30.2586,30210,0.6984
"GA","Haralson County",-85.211,33.7942,30178,0.0949
"TX","Grimes County",-95.9855,30.5435,29442,0.668
"MS","Adams County",-91.3535,31.4829,29425,0.8025
"GA","Sumter County",-84.197,32.0399,29378,0.8608
"AL","Marion County",-87.8871,34.1366,29203,0.7121
"GA","Decatur County",-84.5791,30.8783,29063,0.8861
"MS","Neshoba County",-89.1176,32.7535,28970,0.716
"TX","Cass County",-94.3435,33.0775,28637,0.5217
"TX","Palo Pinto County",-98.313,32.7532,28569,0.4941
"GA","Jones County",-83.5605,33.0251,28382,0.1139
"GA","Monroe County",-83.9187,33.0139,28287,0.1013
"MS","Copiah County",-90.4488,31.8692,28210,0.4568
"GA","White County",-83.7471,34.6464,28165,0.1456
"MS","Tate County",-89.9448,34.6503,28094,0.5185
"GA","Peach County",-83.8269,32.5688,28054,0.5886
"FL","Baker County",-82.2846,30.3311,27969,0.2273
"MS","Scott County",-89.5376,32.4064,27943,0.7531
"MS","Leflore County",-90.3011,33.5505,27920,0.8889
"MS","Union County",-89.0038,34.4905,27880,0.2593
"FL","Bradford County",-82.1687,29.95,27816,0.7273
"TX","San Jacinto County",-95.1669,30.5795,27666,0.6245
"GA","Upson County",-84.2994,32.8813,27638,0.2911
"MS","Yazoo County",-90.3964,32.7803,27467,0.9753
"LA","West Baton Rouge Parish",-91.3127,30.4636,27377,0.1429
"GA","Dawson County",-84.1706,34.4443,27355,0.0633
"TX","Gillespie County",-98.9465,30.3181,26953,0.3834
"GA","Toombs County",-82.3312,32.1216,26946,0.943
"LA","De Soto Parish",-93.7373,32.0554,26821,0.5079
"GA","Stephens County",-83.2932,34.554,26732,0.443
"AL","Geneva County",-85.8391,31.0951,26647,0.3788
"GA","Hart County",-82.9642,34.3509,26110,0.3734
"GA","Grady County",-84.2345,30.8747,26075,0.9114
"MS","Simpson County",-89.9195,31.9132,25889,0.2963
"MS","Sunflower County",-90.5886,33.6023,25867,0.8272
"FL","Hardee County",-81.81,27.4927,25528,0.9697
"GA","Butts County",-83.9572,33.2879,25522,0.2468
"LA","Morehouse Parish",-91.8018,32.8202,25438,0.873
"GA","Fannin County",-84.3198,34.8641,25436,0.3165
"TX","Milam County",-96.9768,30.7863,25080,0.5257
"AL","Cherokee County",-85.6038,34.1759,25069,0.1667
"FL","Washington County",-85.6653,30.6106,25014,0.5758
"MS","Prentiss County",-88.5201,34.6183,24945,0.1235
"GA","Chattooga County",-85.3453,34.475,24902,0.7532
"GA","Union County",-83.9907,34.8341,24880,0.2215
"AL","Barbour County",-85.3932,31.8696,24877,0.9848
"TX","Uvalde County",-99.7622,29.3573,24833,0.9605
"TX","Fayette County",-96.9198,29.8768,24564,0.1502
"MS","George County",-88.644,30.8626,24547,0.4198
"MS","Marion County",-89.8224,31.2308,24362,0.679
"GA","Burke County",-82.0007,33.0611,24337,0.4051
"GA","Tattnall County",-82.0581,32.0458,24309,0.7722
"TX","Shelby County",-94.145,31.7924,24157,0.7984
"TX","Aransas County",-96.9933,28.1254,24048,0.4783
"MS","Itawamba County",-88.3613,34.28,23888,0
"AL","Winston County",-87.3737,34.1492,23655,0.5606
"GA","Franklin County",-83.2291,34.3754,23480,0.557
"LA","Plaquemines Parish",-89.61,29.4406,23305,0.2063
"AL","Clarke County",-87.8308,31.6767,23058,0.7727
"GA","Emanuel County",-82.3017,32.5897,22907,0.7911
"LA","Allen Parish",-92.828,30.653,22798,0.619
"TX","Panola County",-94.3056,32.1624,22540,0.4466
"AL","Bibb County",-87.1265,32.9986,22251,0.7273
"TX","Limestone County",-96.5805,31.5455,22222,0.751
"LA","Sabine Parish",-93.5547,31.564,22209,0.746
"GA","Putnam County",-83.3728,33.3218,22206,0.2722
"LA","Grant Parish",-92.5595,31.5997,22185,0.3175
"AL","Randolph County",-85.4591,33.2938,22179,0.2576
"TX","Houston County",-95.4227,31.3177,22107,0.7787
"TX","Lampasas County",-98.2415,31.1962,21829,0.2806
"MS","Tippah County",-88.9089,34.7684,21769,0.6296
"GA","McDuffie County",-82.4814,33.4828,21715,0.3418
"TX","Llano County",-98.6841,30.7058,21637,0.2411
"GA","Mitchell County",-84.1943,31.2253,21634,0.9937
"TX","Gaines County",-102.6352,32.7408,21523,0.6403
"TX","Hockley County",-102.3432,33.6076,21495,0.8221
"MS","Grenada County",-89.802,33.7699,21474,0.4815
"FL","Taylor County",-83.6035,30.047,21421,0.5303
"MS","Leake County",-89.524,32.7535,21335,0.7778
"TX","Moore County",-101.893,35.8377,21284,0.8538
"MS","Newton County",-89.1188,32.4002,21275,0.1852
"TX","Gray County",-100.8126,35.4012,21272,0.6482
"MS","Coahoma County",-90.6018,34.23,21264,0.9506
"TX","Bandera County",-99.2463,29.7472,21182,0.2292
"LA","Assumption Parish",-91.0608,29.9024,21067,0.4127
"LA","Union Parish",-92.3748,32.8318,21049,0.5556
"GA","Worth County",-83.8509,31.5515,20706,0.6013
"GA","Meriwether County",-84.6883,33.0406,20679,0.6835
"LA","Pointe Coupee Parish",-91.6008,30.7095,20652,0.4286
"TX","Hutchinson County",-101.3547,35.84,20595,0.1028
"TX","Colorado County",-96.5263,29.6208,20582,0.498
"TX","Lavaca County",-96.9302,29.3843,20379,0.1621
"TX","Willacy County",-97.6632,26.4693,20308,0.9644
"GA","Crisp County",-83.7681,31.9229,20255,0.9494
"TX","Montague County",-97.7246,33.6757,20197,0.2134
"GA","Morgan County",-83.4923,33.5909,20171,0.0696
"TX","Calhoun County",-96.6018,28.5074,20127,0.4229
"LA","St. James Parish",-90.7931,30.027,20090,0
"LA","Richland Parish",-91.7635,32.4178,20028,0.7619
"GA","Dodge County",-83.1684,32.1722,19977,0.5633
"GA","Washington County",-82.7959,32.9695,19975,0.6962
"TX","Tyler County",-94.3766,30.7712,19962,0.664
"TX","DeWitt County",-97.3568,29.0821,19826,0.581
"GA","Pierce County",-82.2128,31.3588,19822,0.1203
"AL","Monroe County",-87.3654,31.5709,19816,0.6212
"MS","Wayne County",-88.6958,31.6408,19760,0.7037
"TX","Jones County",-99.8788,32.7399,19758,0.3597
"LA","Franklin Parish",-91.6738,32.1333,19752,0.5714
"TX","Gonzales County",-97.4925,29.4567,19736,0.8419
"TX","Freestone County",-96.1491,31.7049,19599,0.4387
"GA","Elbert County",-82.8401,34.1168,19570,0.6899
"FL","Holmes County",-85.814,30.8679,19529,0.5455
"LA","East Feliciana Parish",-91.0455,30.8451,19452,0.2381
"AL","Macon County",-85.6927,32.3859,19198,0.9545
"AL","Marengo County",-87.7895,32.2477,19180,0.5303
"GA","Pike County",-84.3892,33.0923,19145,0.0063
"GA","Greene County",-83.1667,33.5788,19020,0.2405
"AL","Butler County",-86.6803,31.7524,18981,0.4848
"AL","Pickens County",-88.0887,33.2808,18925,0.803
"MS","Tishomingo County",-88.2393,34.7404,18837,0.3333
"LA","Concordia Parish",-91.6401,31.4459,18677,0.9683
"GA","Lamar County",-84.1395,33.0765,18676,0.1266
"MS","Clay County",-88.7816,33.6556,18598,0.5062
"TX","Deaf Smith County",-102.605,34.966,18585,0.6798
"GA","Appling County",-82.2889,31.7492,18441,0.7405
"TX","Bosque County",-97.6343,31.9004,18404,0.249
"GA","Banks County",-83.4972,34.3543,18381,0.1582
"TX","Andrews County",-102.6377,32.305,18362,0.6087
"MS","Stone County",-89.1177,30.79,18360,0.4074
"MS","Covington County",-89.5526,31.6332,18323,0.284
"GA","Berrien County",-83.2296,31.276,18187,0.3861
"TX","Frio County",-99.1082,28.8678,18151,0.913
"GA","Brantley County",-81.9819,31.1969,18105,0.2025
"FL","Gilchrist County",-82.8004,29.7258,18070,0.4697
"FL","Madison County",-83.4701,30.4441,17986,0.6364
"TX","Burleson County",-96.6215,30.4925,17958,0.2055
"TX","Young County",-98.6878,33.1766,17903,0.2174
"MS","Attala County",-89.5815,33.0863,17842,0.6914
"TX","Eastland County",-98.8323,32.3271,17812,0.4901
"MS","Winston County",-89.0344,33.0885,17741,0.3951
"TX","Lee County",-96.9657,30.3107,17543,0.4743
"AL","Henry County",-85.2414,31.5147,17282,0.3333
"GA","Cook County",-83.4305,31.154,17242,0.8101
"GA","Ben Hill County",-83.2205,31.7598,17169,0.8354
"MS","Chickasaw County",-88.9479,33.9208,17024,0.7654
"TX","Falls County",-96.9359,31.2533,17013,0.83
"GA","Rabun County",-83.402,34.8818,16915,0.1709
"TX","Robertson County",-96.5129,31.027,16912,0.5415
"TX","Scurry County",-100.9164,32.7463,16883,0.2332
"MS","Holmes County",-90.0921,33.1235,16848,0.963
"GA","Long County",-81.7458,31.7526,16804,0.6519
"FL","Dixie County",-83.1587,29.6086,16737,0.5606
"MS","Jasper County",-89.1189,32.0191,16320,0.1358
"AL","Fayette County",-87.7388,33.7212,16297,0.6061
"GA","Brooks County",-83.5802,30.842,16275,0.8481
"GA","Dade County",-85.5044,34.8546,16239,0.1899
"TX","Leon County",-95.9957,31.2965,15928,0.3518
"GA","Jefferson County",-82.4182,33.0549,15591,0.8734
"MS","Clarke County",-88.6894,32.0414,15553,0.3827
"FL","Union County",-82.3714,30.0439,15524,0.4848
"AL","Washington County",-88.2079,31.4076,15434,0.0455
"LA","West Feliciana Parish",-91.42,30.8798,15358,0.1746
"AL","Cleburne County",-85.5188,33.6745,15144,0.2727
"TX","Pecos County",-102.7235,30.781,15114,0.7628
"LA","Jackson Parish",-92.5578,32.302,15093,0.4603
"TX","Jackson County",-96.5776,28.9542,15010,0.5692
"FL","Gulf County",-85.2263,29.9565,15002,0.2424
"GA","Oglethorpe County",-83.0807,33.8807,14974,0.2152
"GA","Jasper County",-83.688,33.3165,14882,0.1835
"TX","Karnes County",-97.8594,28.9057,14805,0.8419
"GA","Jeff Davis County",-82.6368,31.8056,14791,0.7215
"LA","LaSalle Parish",-92.1605,31.6769,14764,0.0317
"AL","Hale County",-87.6291,32.7627,14742,0.9091
"TX","Nolan County",-100.406,32.3035,14657,0.8735
"FL","Jefferson County",-83.8953,30.4375,14458,0.4242
"MS","Smith County",-89.5067,32.0177,14310,0.358
"AL","Clay County",-85.8605,33.269,14209,0.2424
"LA","Claiborne Parish",-92.9958,32.8227,14203,0.6508
"GA","Screven County",-81.612,32.7506,14026,0.3354
