year,Time,Latitude,Longitude,Max Winds,SS,RMW,Central,States,Storm
9/21/1887,1700Z,26.1N,97.2W,75,1,40,973,ATX2,---------------
10/19/1887,0200Z,29.1N,90.4W,75,1,---,-978,LA1,---------------
6/17/1888,0600Z,28.7N,95.7W,70,1,---,-982,BTX1,---------------
8/16/1888$,1900Z,25.8N,80.1W,110,3,---,-945,"CFL3,BFL1",---------------
8/19/1888,1600Z,29.1N,90.7W,95,2,---,-960,"LA2,IMS1",---------------
10/11/1888,0100Z,29.2N,83.1W,95,2,10,970,"AFL2,DFL1",---------------
9/23/1889,0400Z,29.1N,89.8W,70,1,---,-982,LA1,---------------
7/5/1891,2200Z,28.8N,95.5W,80,1,---,-974,"BTX1,CTX1",---------------
8/24/1891$,1500Z,25.4N,80.2W,70,1,---,-985,CFL1,---------------
8/24/1893,1200Z,40.7N,73.9W,75,1,30,986,"NY1,CT1","""Midnight Storm"""
8/28/1893,0500Z,31.7N,81.1W,100,3,25,954,"GA3,SC3,INC1,DFL1","""Sea Islands"""
9/7/1893,1400Z,29.2N,91.1W,85,2,---,-970,LA2,---------------
10/2/1893,0800Z,29.3N,89.8W,115,4,10,948,LA4,"""Chenier Caminanda"""
10/2/1893,1600Z,30.3N,88.9W,85,2,15,970,"MS2,AL2",---------------
10/13/1893,1300Z,33.0N,79.5W,105,3,15,955,"SC3,NC2,IVA1",---------------
9/25/1894$,1100Z,24.7N,82.0W,80,1,---,985,BFL1,---------------
9/25/1894$,1900Z,26.5N,82.0W,90,2,---,-975,"BFL2,DFL1",---------------
9/27/1894,0700Z,32.3N,80.7W,80,1,---,-976,SC1,---------------
9/29/1894*,1200Z,37.0N,75.0W,70,1,---,-978,VA1,---------------
10/9/1894,0300Z,30.2N,85.5W,105,3,---,-950,"AFL3,IGA1",---------------
10/10/1894,1500Z,40.7N,72.9W,75,1,---,-978,"NY1,CT1,RI1",---------------
8/30/1895#,0400Z,25.0N,97.6W,65,1,---,-963,ATX1,---------------
7/7/1896,1700Z,30.4N,86.5W,85,2,---,-970,AFL2,---------------
9/10/1896,1300Z,41.2N,70.6W,70,1,30,-985,"RI1,MA1",---------------
9/29/1896,1100Z,29.2N,83.1W,110,3,15,960,"AFL3,DFL3,GA2,SC1,INC1,IVA1",---------------
9/13/1897,0500Z,29.7N,93.8W,75,1,---,-978,"LA1,TX1",---------------
8/2/1898,2300Z,29.7N,84.8W,70,1,---,-982,AFL1,---------------
8/31/1898,0700Z,32.1N,80.8W,75,1,---,-980,"GA1,SC1",---------------
10/2/1898,1600Z,30.9N,81.4W,115,4,20,938,"GA4,DFL2",---------------
8/1/1899,1700Z,29.7N,84.7W,85,2,10,979,AFL2,---------------
8/18/1899,0100Z,35.2N,75.8W,105,3,---,-945,NC3,---------------
10/31/1899,0900Z,33.6N,79.0W,95,2,35,955,"NC2,SC2",---------------
9/9/1900,0200Z,29.1N,95.1W,120,4,15,936,CX4,"""Galveston"""
7/11/1901,0700Z,36.0N,75.8W,70,1,---,-983,NC1,---------------
8/14/1901,2100Z,29.3N,89.6W,75,1,---,-973,LA1,---------------
8/15/1901,1700Z,30.4N,88.8W,75,1,35,973,"MS1,AL1",---------------
9/11/1903,2300Z,26.1N,80.1W,75,1,45,976,CFL1,---------------
9/13/1903,2300Z,30.1N,85.6W,80,1,---,-974,AFL1,---------------
9/16/1903,1100Z,39.1N,74.7W,70,1,---,990,"NJ1,DE1",---------------
9/14/1904,1300Z,33.1N,79.2W,70,1,---,-985,SC1,---------------
10/17/1904,0800Z,25.3N,80.3W,70,1,---,-985,CFL1,---------------
6/17/1906,0300Z,24.7N,81.1W,70,1,---,-986,"BFL1,CFL1",---------------
6/17/1906,0800Z,25.2N,80.7W,75,1,25,979,CFL1,---------------
