"county_full","state_id","lng","lat","population","SVI","COUNTY","COUNTYTYPE","HRCN_HLRR"
"St. Mary Parish","LA",-91.4486,29.7207,49114,0.6667,"St. Mary","Parish","Very High"
"St. Tammany Parish","LA",-89.9584,30.4103,266168,0.0794,"St. Tammany","Parish","Very High"
"Stone County","MS",-89.1177,30.79,18360,0.4074,"Stone","County","Very High"
"Sumter County","AL",-88.1988,32.5911,12196,0.8636,"Sumter","County","Relatively High"
"Sumter County","FL",-82.081,28.7048,131832,0.0303,"Sumter","County","Relatively High"
"Suwannee County","FL",-82.9915,30.1956,43881,0.6818,"Suwannee","County","Relatively High"
"Tangipahoa Parish","LA",-90.4057,30.6266,133953,0.4762,"Tangipahoa","Parish","Very High"
"Taylor County","FL",-83.6035,30.047,21421,0.5303,"Taylor","County","Relatively High"
"Tensas Parish","LA",-91.3401,32.0019,4127,0.7302,"Tensas","Parish","Relatively High"
"Terrebonne Parish","LA",-90.8663,29.4148,108862,0.2857,"Terrebonne","Parish","Very High"
"Trinity County","TX",-95.1355,31.0888,13735,0.6719,"Trinity","County","Very High"
"Tyler County","TX",-94.3766,30.7712,19962,0.664,"Tyler","County","Very High"
"Union County","FL",-82.3714,30.0439,15524,0.4848,"Union","County","Relatively High"
"Vermilion Parish","LA",-92.3242,29.8465,57202,0.381,"Vermilion","Parish","Relatively High"
"Vernon Parish","LA",-93.1843,31.1083,48452,0.3651,"Vernon","Parish","Relatively High"
"Victoria County","TX",-96.9715,28.7964,91209,0.6957,"Victoria","County","Very High"
"Volusia County","FL",-81.1819,29.0584,558520,0.3485,"Volusia","County","Relatively High"
"Walker County","TX",-95.5723,30.739,77182,0.7154,"Walker","County","Relatively High"
"Waller County","TX",-95.9876,30.0108,57463,0.6364,"Waller","County","Relatively High"
"Walthall County","MS",-90.1061,31.1484,13888,0.5802,"Walthall","County","Very High"
"Walton County","FL",-86.1697,30.6436,76618,0.2576,"Walton","County","Very High"
"Washington County","AL",-88.2079,31.4076,15434,0.0455,"Washington","County","Relatively High"
"Washington County","FL",-85.6653,30.6106,25014,0.5758,"Washington","County","Very High"
"Washington County","TX",-96.4034,30.2145,35807,0.2253,"Washington","County","Relatively High"
"Washington Parish","LA",-90.0405,30.8533,45514,0.9365,"Washington","Parish","Very High"
"Wayne County","MS",-88.6958,31.6408,19760,0.7037,"Wayne","County","Relatively High"
"West Baton Rouge Parish","LA",-91.3127,30.4636,27377,0.1429,"West Baton Rouge","Parish","Relatively High"
"West Feliciana Parish","LA",-91.42,30.8798,15358,0.1746,"West Feliciana","Parish","Relatively High"
"Wharton County","TX",-96.2221,29.2779,41614,0.8379,"Wharton","County","Very High"
"Wilcox County","AL",-87.3082,31.9893,10441,1,"Wilcox","County","Relatively High"
"Wilkinson County","MS",-91.3109,31.1611,8531,0.5309,"Wilkinson","County","Relatively High"
"Willacy County","TX",-97.6632,26.4693,20308,0.9644,"Willacy","County","Very High"
