"county_full","state_id","lng","lat","population","SVI","COUNTY","COUNTYTYPE"
"Lamar County","AL",-88.097,33.7791,13885,0.1818,"Lamar","County"
"Lamar County","MS",-89.5087,31.206,64425,0.0864,"Lamar","County"
"Lamar County","TX",-95.5712,33.6673,50149,0.5534,"Lamar","County"
"Lampasas County","TX",-98.2415,31.1962,21829,0.2806,"Lampasas","County"
"LaSalle Parish","LA",-92.1605,31.6769,14764,0.0317,"LaSalle","Parish"
"Lauderdale County","MS",-88.6625,32.4043,72741,0.6667,"Lauderdale","County"
"Lavaca County","TX",-96.9302,29.3843,20379,0.1621,"Lavaca","County"
"Lawrence County","MS",-90.107,31.5502,11933,0.642,"Lawrence","County"
"Leake County","MS",-89.524,32.7535,21335,0.7778,"Leake","County"
"Lee County","FL",-81.8332,26.578,772902,0.4394,"Lee","County"
"Lee County","TX",-96.9657,30.3107,17543,0.4743,"Lee","County"
"Leflore County","MS",-90.3011,33.5505,27920,0.8889,"Leflore","County"
"Leon County","FL",-84.2779,30.458,294128,0.4091,"Leon","County"
"Leon County","TX",-95.9957,31.2965,15928,0.3518,"Leon","County"
"Levy County","FL",-82.7434,29.3184,43268,0.5152,"Levy","County"
"Liberty County","FL",-84.8829,30.2413,7704,0.6515,"Liberty","County"
"Liberty County","TX",-94.8122,30.1516,93523,0.9486,"Liberty","County"
"Limestone County","TX",-96.5805,31.5455,22222,0.751,"Limestone","County"
"Lincoln County","MS",-90.454,31.5324,34855,0.1111,"Lincoln","County"
"Lincoln Parish","LA",-92.6649,32.6016,48323,0.3492,"Lincoln","Parish"
"Live Oak County","TX",-98.1248,28.3514,11374,0.7866,"Live Oak","County"
"Livingston Parish","LA",-90.7279,30.4401,143425,0.1111,"Livingston","Parish"
"Llano County","TX",-98.6841,30.7058,21637,0.2411,"Llano","County"
"Loving County","TX",-103.58,31.8493,96,0.3794,"Loving","County"
"Lowndes County","AL",-86.6501,32.1547,10153,0.8788,"Lowndes","County"
"Lowndes County","MS",-88.4433,33.4729,58547,0.2222,"Lowndes","County"
"Macon County","AL",-85.6927,32.3859,19198,0.9545,"Macon","County"
"Madison County","FL",-83.4701,30.4441,17986,0.6364,"Madison","County"
