Tract,CountyFips,BldgSchemesId,Tract6,TractArea,Length,NumAggrBocks,CenLat,CenLongit,ESRI_OID,FID,CountyFips_1,CountyFi_1,CountyName,State,StateFips,NumTracts
45013000902,45013,1,902,34.1812973,128.9360657,105,32.448872,-80.639046,130,1156,45013,13,Beaufort,SC,45,42
45013000903,45013,1,903,24.5235577,59.7840309,74,32.392418,-80.652084,131,1156,45013,13,Beaufort,SC,45,42
45013001000,45013,1,1000,30.042923,69.0392303,54,32.343884,-80.687004,132,1156,45013,13,Beaufort,SC,45,42
45013001101,45013,1,1101,67.4135513,144.129425,74,32.425011,-80.549507,133,1156,45013,13,Beaufort,SC,45,42
45013001103,45013,1,1103,29.0073452,62.3656158,29,32.370716,-80.609573,134,1156,45013,13,Beaufort,SC,45,42
45013001104,45013,1,1104,77.4689713,149.2192841,86,32.367847,-80.564743,135,1156,45013,13,Beaufort,SC,45,42
45013001200,45013,1,1200,98.5426712,69.7675095,38,32.335285,-80.470253,136,1156,45013,13,Beaufort,SC,45,42
45013002101,45013,1,2101,27.8721027,86.7378387,32,32.119114,-80.858696,137,1156,45013,13,Beaufort,SC,45,42
45013002102,45013,1,2102,145.2521667,147.9904633,112,32.218349,-80.944069,138,1156,45013,13,Beaufort,SC,45,42
45013002103,45013,1,2103,22.7186966,85.9630585,79,32.253296,-80.954742,139,1156,45013,13,Beaufort,SC,45,42
45013002105,45013,1,2105,12.1294785,60.0098648,49,32.277275,-80.921677,140,1156,45013,13,Beaufort,SC,45,42
45013002106,45013,1,2106,19.9338799,99.7939911,82,32.254032,-80.904488,141,1156,45013,13,Beaufort,SC,45,42
45013002107,45013,1,2107,18.821455,102.9287872,149,32.249409,-80.867462,142,1156,45013,13,Beaufort,SC,45,42
45013002108,45013,1,2108,29.7721119,75.6311798,80,32.230953,-80.837799,143,1156,45013,13,Beaufort,SC,45,42
45013002109,45013,1,2109,7.5568752,39.9765549,36,32.276859,-80.980095,144,1156,45013,13,Beaufort,SC,45,42
45013002110,45013,1,2110,13.6854677,86.5411377,87,32.289417,-80.964615,145,1156,45013,13,Beaufort,SC,45,42
45013002201,45013,1,2201,85.4775696,191.0413971,74,32.279678,-80.849121,146,1156,45013,13,Beaufort,SC,45,42
45013002202,45013,1,2202,103.8996964,166.574707,63,32.33313,-80.877068,147,1156,45013,13,Beaufort,SC,45,42
45013010100,45013,1,10100,7.8951278,57.3011589,31,32.122978,-80.805099,148,1156,45013,13,Beaufort,SC,45,42
45013010200,45013,1,10200,13.1285753,67.7844543,40,32.14677,-80.783997,149,1156,45013,13,Beaufort,SC,45,42
45013010300,45013,1,10300,13.3191214,82.4157257,56,32.166618,-80.756561,150,1156,45013,13,Beaufort,SC,45,42
